,Unnamed: 0,function_id,user_id,accurate,adequate,concise,similarity,source,text,text.1,bleu,b1,b2,b3,b4,bleu_cat,function,attendgru_flatgru_euclidean,bleu-average,attendgru_tdats_pred_cosine,attendgru_flatgru_cosine,attendgru_emb_cosine_f1,bleu-4gram,iS_cosine,attendgru_tdats_ref_euclidean,use_euclidean_dict,sb_euclidean,attendgru_tdats_ref_cosine,attendgru_emb_euclidean_r,sb_cosine,jaccard_similarity_score,attendgru_emb_euclidean_p,attendgru_lastgru_cosine,attendgru_tdats_pred_euclidean,attendgru_emb_cosine_r,meteor_score,attendgru_emb_euclidean_f1,attendgru_emb_cosine_p,bleu-3gram,rbert,use_cosine_dict,attendgru_lastgru_euclidean,tfidf_euclidean,rouge_score,bleu-2gram,f1bert,attendgru_context_euclidean,attendgru_context_cosine,tfidf_cosine,pbert,bleu-1gram,iS_euclidean,rouge-l,rouge-w
0,0,27798254,1,4,1,1,4,reference,tests if plugin is in registry,checks if the plugin contains the given plugin name,1.2499999999999988e-231,0.222222222,2.229999999999993e-308,2.229999999999993e-308,2.229999999999993e-308,2,27798254,14.465147,1.2499999999999988e-231,-0.114647366,0.55867755,0.543561678,2.229999999999993e-308,0.7582041,6.7740326,0.85961163,20.07352,-0.122701876,0.878616783,0.74451095,0.181818182,0.963595963,0.41671088,7.2885447,0.580557202,0.158730159,0.919146376,0.510998711,2.229999999999993e-308,0.494270384,0.63053393,3.623927,1.25774948,0.266666667,2.229999999999993e-308,0.476268589,0.8305906999999999,0.8500194999999999,0.209033123,0.456691027,0.222222222,2.4876938,0.33331820868719203,0.1784777106915
1,1,27798254,3,4,1,1,4,baseline,checks if the plugin contains the given plugin name,tests if plugin is in registry,1.2499999999999988e-231,0.222222222,2.229999999999993e-308,2.229999999999993e-308,2.229999999999993e-308,2,27798254,14.465147,1.2499999999999988e-231,-0.114647366,0.55867755,0.543561678,2.229999999999993e-308,0.7582041,6.7740326,0.85961163,20.07352,-0.122701876,0.878616783,0.74451095,0.181818182,0.963595963,0.41671088,7.2885447,0.580557202,0.158730159,0.919146376,0.510998711,2.229999999999993e-308,0.494270384,0.63053393,3.623927,1.25774948,0.266666667,2.229999999999993e-308,0.476268589,0.8305906999999999,0.8500194999999999,0.209033123,0.456691027,0.222222222,2.4876938,0.33331820868719203,0.1784777106915
2,2,27798254,4,4,2,2,2,baseline,checks if the plugin contains the given plugin name,tests if plugin is in registry,1.2499999999999988e-231,0.222222222,2.229999999999993e-308,2.229999999999993e-308,2.229999999999993e-308,2,27798254,14.465147,1.2499999999999988e-231,-0.114647366,0.55867755,0.543561678,2.229999999999993e-308,0.7582041,6.7740326,0.85961163,20.07352,-0.122701876,0.878616783,0.74451095,0.181818182,0.963595963,0.41671088,7.2885447,0.580557202,0.158730159,0.919146376,0.510998711,2.229999999999993e-308,0.494270384,0.63053393,3.623927,1.25774948,0.266666667,2.229999999999993e-308,0.476268589,0.8305906999999999,0.8500194999999999,0.209033123,0.456691027,0.222222222,2.4876938,0.33331820868719203,0.1784777106915
3,3,27798254,6,4,1,1,3,reference,tests if plugin is in registry,checks if the plugin contains the given plugin name,1.2499999999999988e-231,0.222222222,2.229999999999993e-308,2.229999999999993e-308,2.229999999999993e-308,2,27798254,14.465147,1.2499999999999988e-231,-0.114647366,0.55867755,0.543561678,2.229999999999993e-308,0.7582041,6.7740326,0.85961163,20.07352,-0.122701876,0.878616783,0.74451095,0.181818182,0.963595963,0.41671088,7.2885447,0.580557202,0.158730159,0.919146376,0.510998711,2.229999999999993e-308,0.494270384,0.63053393,3.623927,1.25774948,0.266666667,2.229999999999993e-308,0.476268589,0.8305906999999999,0.8500194999999999,0.209033123,0.456691027,0.222222222,2.4876938,0.33331820868719203,0.1784777106915
4,4,27798254,10,4,1,1,3,baseline,checks if the plugin contains the given plugin name,tests if plugin is in registry,1.2499999999999988e-231,0.222222222,2.229999999999993e-308,2.229999999999993e-308,2.229999999999993e-308,2,27798254,14.465147,1.2499999999999988e-231,-0.114647366,0.55867755,0.543561678,2.229999999999993e-308,0.7582041,6.7740326,0.85961163,20.07352,-0.122701876,0.878616783,0.74451095,0.181818182,0.963595963,0.41671088,7.2885447,0.580557202,0.158730159,0.919146376,0.510998711,2.229999999999993e-308,0.494270384,0.63053393,3.623927,1.25774948,0.266666667,2.229999999999993e-308,0.476268589,0.8305906999999999,0.8500194999999999,0.209033123,0.456691027,0.222222222,2.4876938,0.33331820868719203,0.1784777106915
5,5,27798254,11,4,1,1,4,reference,tests if plugin is in registry,checks if the plugin contains the given plugin name,1.2499999999999988e-231,0.222222222,2.229999999999993e-308,2.229999999999993e-308,2.229999999999993e-308,2,27798254,14.465147,1.2499999999999988e-231,-0.114647366,0.55867755,0.543561678,2.229999999999993e-308,0.7582041,6.7740326,0.85961163,20.07352,-0.122701876,0.878616783,0.74451095,0.181818182,0.963595963,0.41671088,7.2885447,0.580557202,0.158730159,0.919146376,0.510998711,2.229999999999993e-308,0.494270384,0.63053393,3.623927,1.25774948,0.266666667,2.229999999999993e-308,0.476268589,0.8305906999999999,0.8500194999999999,0.209033123,0.456691027,0.222222222,2.4876938,0.33331820868719203,0.1784777106915
6,6,27801498,1,4,3,1,4,reference,sets the bin width and repaints,sets the dimensions of the bin,9.979999999999983e-155,0.5,0.4,2.229999999999993e-308,2.229999999999993e-308,3,27801498,8.781558,9.979999999999983e-155,-0.003980372,0.8554883,0.7330772320000001,2.229999999999993e-308,0.7246144,6.350185400000001,0.8158418000000001,24.324583,0.010074847,0.694588949,0.5787093000000001,0.375,0.525016701,0.2281981,6.3370976,0.665369801,0.425925926,0.5980142820000001,0.8161254179999999,2.229999999999993e-308,0.371753335,0.66720116,3.776642,1.07291236,0.5,0.4,0.460357577,0.7389057,0.9100151,0.424429534,0.550163567,0.5,2.1685371,0.561231024154687,0.370602755158006
7,7,27801498,3,3,2,1,2,baseline,sets the dimensions of the bin,sets the bin width and repaints,9.979999999999983e-155,0.5,0.4,2.229999999999993e-308,2.229999999999993e-308,3,27801498,8.781558,9.979999999999983e-155,-0.003980372,0.8554883,0.7330772320000001,2.229999999999993e-308,0.7246144,6.350185400000001,0.8158418000000001,24.324583,0.010074847,0.694588949,0.5787093000000001,0.375,0.525016701,0.2281981,6.3370976,0.665369801,0.425925926,0.5980142820000001,0.8161254179999999,2.229999999999993e-308,0.371753335,0.66720116,3.776642,1.07291236,0.5,0.4,0.460357577,0.7389057,0.9100151,0.424429534,0.550163567,0.5,2.1685371,0.561231024154687,0.370602755158006
8,8,27801498,4,4,1,1,1,reference,sets the bin width and repaints,sets the dimensions of the bin,9.979999999999983e-155,0.5,0.4,2.229999999999993e-308,2.229999999999993e-308,3,27801498,8.781558,9.979999999999983e-155,-0.003980372,0.8554883,0.7330772320000001,2.229999999999993e-308,0.7246144,6.350185400000001,0.8158418000000001,24.324583,0.010074847,0.694588949,0.5787093000000001,0.375,0.525016701,0.2281981,6.3370976,0.665369801,0.425925926,0.5980142820000001,0.8161254179999999,2.229999999999993e-308,0.371753335,0.66720116,3.776642,1.07291236,0.5,0.4,0.460357577,0.7389057,0.9100151,0.424429534,0.550163567,0.5,2.1685371,0.561231024154687,0.370602755158006
9,9,27801498,6,4,1,1,3,baseline,sets the dimensions of the bin,sets the bin width and repaints,9.979999999999983e-155,0.5,0.4,2.229999999999993e-308,2.229999999999993e-308,3,27801498,8.781558,9.979999999999983e-155,-0.003980372,0.8554883,0.7330772320000001,2.229999999999993e-308,0.7246144,6.350185400000001,0.8158418000000001,24.324583,0.010074847,0.694588949,0.5787093000000001,0.375,0.525016701,0.2281981,6.3370976,0.665369801,0.425925926,0.5980142820000001,0.8161254179999999,2.229999999999993e-308,0.371753335,0.66720116,3.776642,1.07291236,0.5,0.4,0.460357577,0.7389057,0.9100151,0.424429534,0.550163567,0.5,2.1685371,0.561231024154687,0.370602755158006
